Key	Company	Position	Location	Category	Experience_Level	Salary
cca45a6665d81fad	BASG	Onsite Laravel Developer / Computer Programmer / MUST BE IN MIAMI	Miami, FL 33186	SE	MID_LEVEL	$20 - $50 an hour
a6c3fee0681e6d51	AstraZeneca	Global Automation Engineer - Product Security and Traceability Packaging	Wilmington, DE 19850	SE	MID_LEVEL	
928dfa30faa02f60	Amazon Data Services, Inc.	Software Development Engineer, AWS Direct Connect - Metering & Monitoring	Minneapolis, MN	SE	MID_LEVEL	
f05e634b86fd6d69	Northeastern University	Full-Stack Developer	Boston, MA 02115 (Fenway area)	SE	MID_LEVEL	
b69bb22b64724b3f	Okaya infocom	PeopleSoft Developer	Philadelphia, PA	SE	MID_LEVEL	$45 - $50 an hour
d94777bbd985524a	O'Neil Digital Solutions, LLC	Software Engineer III	Plano, TX	SE	MID_LEVEL	
3e2a27788c3e3b6e	OCLC	Lead Software Engineer	Dublin, OH	SE	MID_LEVEL	
8e1c73442552faa2	IT Data Solutions	People Soft Payroll Lead developer	Remote in Florida	SE	MID_LEVEL	From $50 an hour
c1d00ca31f79e26b	WORKD, INC.	Software Engineering Manager - Remote or Hybrid	Remote in Farmington Hills, MI 48335	SE	MID_LEVEL	
8fe13f7ce79e72a1	Humana	Senior Software Engineer Varicent ICM	Remote in Texas	SE	MID_LEVEL	
ac910d23565eb606	Engaged Media Studios	Augmented Reality/Virtual Reality Developer	Hybrid remote in Houston, TX 77004	SE	MID_LEVEL	$60,000 - $80,000 a year
7a9b154bae8ffc38	Humana	Senior Software Engineer Varicent ICM	Remote in Illinois	SE	MID_LEVEL	
5ebe47656e1f166f	Humana	Senior Software Engineer Varicent ICM	Remote in New Mexico	SE	MID_LEVEL	
067c91a43f1b19d9	PACCAR	Embedded Systems Engineer- Fuel Cell Powertrain Integration 1 1	Kirkland, WA 98033 (Highlands area)	SE	MID_LEVEL	$106,300 - $166,300 a year
c4b384af3f734a77	Core4ce	Cloud Engineer	Remote	SE	MID_LEVEL	
7059c6a6b6fdbcb3	VIP-STAFFING.COM	Coldfusion Developer (FT)	Remote in San Antonio, TX	SE	MID_LEVEL	$90,000 - $125,000 a year
1da5032b166a6f14	Apple	Embedded SW Engineer	San Diego, CA	SE	MID_LEVEL	
5f1088517e097b9b	Diagnose Early Holdings, Inc.	Software Engineering Manager	Menlo Park, CA	SE	MID_LEVEL	$140,000 - $200,000 a year
4fabdd9de0c26a6e	Humana	Senior Software Engineer Varicent ICM	Remote in Colorado	SE	MID_LEVEL	
2a8070b2697e541c	NewsBreak	Software Engineer, Machine Learning - AIGC	Bellevue, WA	SE	MID_LEVEL	$160,000 - $240,000 a year
aecc5594d2f343ed	Teradyne	Software Engineering Manager	North Reading, MA 01864	SE	MID_LEVEL	
f28733bae6d1dfa7	Humana	Senior Software Engineer Varicent ICM	Remote in Oklahoma	SE	MID_LEVEL	
783f2699368a5319	Fireball	Website Designer/Developer	Olathe, KS 66062	SE	MID_LEVEL	
bb4ae6c7686ebdc5	ghSmart	Staff Software Engineer	Remote	SE	MID_LEVEL	$150,000 - $195,000 a year
d27f608fb5642d2a	Soaren Management	Software Engineer (Python)	Scottsdale, AZ 85254 (Paradise Valley area)	SE	MID_LEVEL	
e8348126cd4edf2d	Klein Buendel, Inc.	Game Developer	Lakewood, CO 80401	SE	MID_LEVEL	$68,000 - $80,000 a year
5c530e3a83fad41b	Confidential - Consumer Products	Developer	Bozeman, MT	SE	MID_LEVEL	$50,000 - $85,000 a year
18866331c95651e4	Tech Consulting	Azure Cloud Engineer	Atlanta, GA	SE	MID_LEVEL	$35 - $38 an hour
f87d4153ca4393ce	ShiftPixy Staffing	Senior Frontend Engineer	Miami, FL	SE	MID_LEVEL	$100,000 - $150,000 a year
5a2a6b7be1ddbed2	Datum	Full Stack Engineer	Los Angeles, CA	SE	MID_LEVEL	$100,000 - $135,000 a year
555300fbffcf0a04	LDP Inc	Full Stack .NET Web Developer	Hybrid remote in West Hazleton, PA 18202	SE	MID_LEVEL	$55,000 - $75,000 a year
ce0814db81872223	GRN Moon Valley	Dot Net Developer	Norfolk, VA 23523	SE	MID_LEVEL	$93,500 - $110,000 a year
f42cba87301a5e32	Integrity Consulting	Software QA Engineer	Hybrid remote in Rochester, NY 14623	SE	MID_LEVEL	$40 - $50 an hour
78cd66ec2c25d01c	Glidewell Dental	Sr. Software Engineer	Hybrid remote in Irvine, CA 92612	SE	MID_LEVEL	$135,000 - $165,000 a year
f399c27f546cd94b	Aircraft Performance Group	C Developer (Office only)	Denver, CO	SE	MID_LEVEL	$90,000 - $100,000 a year
293202c749d1b276	PNC Financial Services Group	"Software Developer-""Powershell/Azure"""	Phoenix, AZ	SE	MID_LEVEL	
7ab1d88ef82190f8	Opportunities at MEMIC	Manager, Software Engineering	Charlotte, NC	SE	MID_LEVEL	
ba17de11e83bf4dc	ALTA IT Services	Junior ServiceNow Developer - REMOTE/Secret Clearance	Remote in Virginia	SE	MID_LEVEL	$110,000 - $115,000 a year
40bf8f552e750623	Northrop Grumman	Principal Engineer Software	Sierra Vista, AZ 85635	SE	MID_LEVEL	$90,400 - $135,600 a year
88a599edcbe41340	Inserso Corporation	Senior Deployment Engineer	Washington, DC	SE	MID_LEVEL	Up to $105,000 a year
fec8bf9d77bd3273	TD Bank	Vice President - Quantitative Developer, TD Securities	New York, NY 11205 (Fort Greene area)	SE	MID_LEVEL	$150,000 - $205,000 a year
f6c7e272be13ef3c	Position Imaging, Inc.	Full Stack Developer	Hybrid remote in Stratham, NH 03885	SE	MID_LEVEL	$113,138 - $122,248 a year
67608300c591cb0d	Gemini, Inc.	Front - End Web Developer	Decorah, IA 52101	SE	MID_LEVEL	
761cf751812dabf5	Red Cedar Consultancy, LLC	Web Developer	Remote	SE	MID_LEVEL	From $90,000 a year
cb656522676eab76	Northrop Grumman	Sentinel Principal Wing Data Simulator Software Engineer -10367	Colorado Springs, CO	SE	MID_LEVEL	$90,400 - $142,700 a year
e6dcc2c5e11fdedb	Health Precision, Inc.	Senior DevOps Engineer	New York, NY	SE	MID_LEVEL	$125,000 - $150,000 a year
8b0005bc85b31f15	Pacific Life	API Engineer, Workforce Benefits	Remote in Newport Beach, CA 92660	SE	MID_LEVEL	
babd5bd33e8253c9	CCS Presentation Systems	AudioVisual Field Engineer - Crestron Programmer - DSP	Mesa, AZ 85201 (Northwest area)	SE	MID_LEVEL	$59,500 - $99,700 a year
6f201bcbf9760e79	GL Solutions	Application Developer	Kalispell, MT 59901	SE	MID_LEVEL	$93,600 - $108,000 a year
7c5778d56ddd24b5	Click Bond Inc	Automation Engineer II	Carson City, NV 89706	SE	MID_LEVEL	$65,000 - $125,000 a year
51f042f7742db874	CGI Group, Inc.	Software Engineer TS/SCI with Full Scope Poly REQUIRED	Reston, VA	SE	MID_LEVEL	
0fb8ce158cffc7d3	Galactic Advisors	Full Stack .Net Developer	Remote	SE	MID_LEVEL	$75,000 - $120,000 a year
